Stock,B,S,G,BB,BS,BG
PXL,82.0,47.0,35.0,0.0,0.0,0.0
PXS,191.0,100.0,91.0,0.0,0.0,0.0
QBS,218.0,102.0,116.0,0.0,0.0,0.0
QCG,75.0,150.0,-75.0,0.0,0.0,0.0
QNS,58.0,56.0,2.0,0.0,0.0,0.0
QTP,93.0,64.0,29.0,0.0,0.0,0.0
REE,144.0,273.0,-129.0,0.0,0.0,0.0
ROS,2318.0,3387.0,-1069.0,0.0,2.0,-2.0
S99,574.0,269.0,305.0,1.0,1.0,0.0
SAB,113.0,196.0,-83.0,0.0,0.0,0.0
SAM,74.0,129.0,-55.0,0.0,0.0,0.0
SBS,1413.0,1050.0,363.0,1.0,4.0,-3.0
SBT,446.0,576.0,-130.0,1.0,1.0,0.0
SBV,13.0,31.0,-18.0,0.0,0.0,0.0
SCR,1214.0,1146.0,68.0,1.0,2.0,-1.0
SD6,42.0,36.0,6.0,0.0,0.0,0.0
SDT,15.0,19.0,-4.0,0.0,0.0,0.0
SGP,76.0,89.0,-13.0,0.0,0.0,0.0
SGR,16.0,32.0,-16.0,0.0,0.0,0.0
SHB,3745.0,2623.0,1122.0,109.0,124.0,-15.0
SHI,126.0,106.0,20.0,1.0,3.0,-2.0
SHS,2066.0,1463.0,603.0,25.0,39.0,-14.0
SIP,21.0,24.0,-3.0,2.0,0.0,2.0
SJD,14.0,18.0,-4.0,0.0,0.0,0.0
SJF,201.0,261.0,-60.0,0.0,0.0,0.0
SJS,44.0,68.0,-24.0,0.0,0.0,0.0
SKG,61.0,66.0,-5.0,0.0,0.0,0.0
SMC,436.0,540.0,-104.0,0.0,0.0,0.0
SPI,21.0,15.0,6.0,3.0,0.0,3.0
SRA,88.0,51.0,37.0,0.0,0.0,0.0
SRC,15.0,16.0,-1.0,0.0,0.0,0.0
SSI,3006.0,3073.0,-67.0,54.0,41.0,13.0
SSN,35.0,65.0,-30.0,0.0,0.0,0.0
STB,3773.0,5365.0,-1592.0,80.0,93.0,-13.0
STH,41.0,12.0,29.0,0.0,0.0,0.0
SVN,38.0,26.0,12.0,0.0,0.0,0.0
SWC,21.0,37.0,-16.0,0.0,0.0,0.0
SZC,780.0,350.0,430.0,1.0,0.0,1.0
